22,1
29,3
30,1
39,2386
41,112
51,179
69,1119
99,246
117,1
130,2215
131,278
160,4438
161,673
176,1024
180,15
181,1
190,1151
191,4432
198,759
207,1268
221,1395
222,17
228,1555
229,23
237,736
258,1236
259,257
265,93
272,2
280,700
281,2671
286,1
288,1069
289,839
301,3
304,1
309,401
310,2748
311,1160
312,363
327,899
330,1
331,1
340,442
341,1197
342,580
343,25
348,603
354,1
361,1
370,1745
371,325
372,1106
373,116
376,12
380,1
382,3
387,1130
393,1
398,5
399,1089
400,2962
401,2885
402,1042
415,515
422,104
446,60
450,3
452,2
460,1030
469,63
472,284
476,328
477,1
479,3
486,1
488,35
489,2310
490,1129
491,2
499,112
502,1521
504,419
506,517
517,1
520,28
525,508
532,2068
534,1454
538,2
548,1700
549,64
550,142
562,2118
563,233
564,1338
566,40
572,9
579,1286
580,34
591,212
592,2293
593,1334
595,1497
596,104
609,1144
621,540
622,1360
623,1647
625,1219
626,62
638,2992
639,1136
653,1176
654,912
655,4169
665,12
666,343
668,3469
670,3
677,26
682,508
683,1295
685,2288
687,320
697,738
698,1733
703,5
715,1546
727,1563
728,2598
729,3463
730,905
735,430
738,619
755,471
756,847
757,3427
758,9441
760,6143
761,2334
766,1414
767,1395
768,2133
769,3574
770,1950
775,794
776,2679
777,284
785,3151
786,2417
787,4449
791,12272
796,1924
797,2556
798,3327
799,2067
800,2781
801,2229
802,1035
805,1356
806,401
812,446
814,318
815,6906
816,6375
821,6924
825,1626
826,1370
827,4208
828,2284
829,1354
830,1160
831,5096
832,3529
835,578
836,84
840,21
841,2
842,4304
843,1029
844,1278
845,3193
846,11161
848,12837
851,1
855,1040
856,4299
857,5997
858,3456
859,1170
861,3389
862,2905
865,1060
869,541
871,335
873,4664
874,3634
875,4686
880,8847
881,241
882,136
884,19
885,26
886,6884
887,8101
888,6474
889,1333
891,6258
892,10030
896,2896
897,1053
899,1073
900,1019
901,2413
902,6559
903,5068
904,5133
909,12420
911,1345
914,1574
916,681
917,10135
918,5944
919,2321
920,1330
921,4840
922,9963
923,1645
926,6830
928,4071
929,379
930,3397
931,761
932,5218
933,8982
934,12188
940,3839
947,4747
948,5370
949,883
950,1054
951,4335
952,7793
953,6306
954,3927
955,592
956,2744
957,7745
959,9499
960,1092
965,3101
966,6129
967,7887
968,2458
969,1024
977,4
980,1175
981,872
982,1513
983,4549
984,7774
985,4108
986,3618
987,1089
988,761
1004,238
1010,40
1012,13
1013,150
1014,1697
1015,832
1027,8
1041,45
1042,9
